,0,1,2,3,4,5,6,7,8,9,mean,std
0,5664,5664,5664,5664,5664,5664,5664,5664,5664,5664,5664.0,0.0
1,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317.0,0.0
2,7662,7662,7662,7662,7662,7662,7662,7662,7662,7662,7662.0,0.0
3,10508,10508,10508,10508,10508,10508,10508,10508,10508,10508,10508.0,0.0
4,16824,16824,16824,16824,16824,16824,16824,16824,16824,16824,16824.0,0.0
5,31952,31952,31952,31952,31952,31952,31952,31952,31952,31952,31952.0,0.0
6,72192,72192,72192,72192,72192,72192,72192,72192,72192,72192,72192.0,0.0
7,192608,192608,192608,192608,192608,192608,192608,192608,192608,192608,192608.0,0.0
8,593184,593184,593184,593184,593184,593184,593184,593184,593184,593184,593184.0,0.0
9,2033312,2033312,2033312,2033312,2033312,2033312,2033312,2033312,2033312,2033312,2033312.0,0.0
10,7469472,7469472,7469472,7469472,7469472,7469472,7469472,7469472,7469472,7469472,7469472.0,0.0
11,28565408,28565408,28565408,28565408,28565408,28565408,28565408,28565408,28565408,28565408,28565408.0,0.0
12,0,0,0,0,0,0,0,0,0,0,0.0,0.0
13,0,0,0,0,0,0,0,0,0,0,0.0,0.0
14,0,0,0,0,0,0,0,0,0,0,0.0,0.0
